Date,PondID,Sample_type,CO2_tot,fCO2,CH4_tot,fCH4,N2O_tot,fN2O,Water.Temperature_Surface,Water.Temperature_Bottom,RDO.Concentration_Surface,RDO.Concentration_Bottom,Air_temp
08/09/2021,RH6,Bottom,5744.531105,NA,844.4763836,NA,0.06618867,NA,14.47413,13.22481,5.712776,0,17.9
03/05/2021,RH6,Surface,876.2588039,177.5102395,17.57104491,4.608903107,0.173564508,-0.020489455,11.45845,10.08841,10.01184,8.12,6.8
03/05/2021,RH6,Bottom,1700.310763,NA,77.10631139,NA,0.143421461,NA,11.45845,10.08841,10.01184,8.12,6.8
24/08/2021,RH1,Surface,1032.624487,273.2920845,3.664521616,1.185167058,0.187070498,-0.029760257,17.58348,16.20783,8.685931,0.11,14.5
24/08/2021,RH1,Bottom,8245.939469,NA,812.7009242,NA,0.091704324,NA,17.58348,16.20783,8.685931,0.11,14.5
21/10/2021,RH6,Bottom,4433.363687,NA,461.912542,NA,0.031686861,NA,9.86482,8.481903,5.871221,0,8.5
21/10/2021,RH6,Surface,1266.095476,254.5776715,11.74013635,2.893911333,0.211685105,-0.032700852,9.86482,8.481903,5.871221,0,8.5
08/09/2021,RH5,Surface,688.6064377,158.6382183,11.77458751,3.82402944,0.216782269,-0.020552893,17.48687,16.10288,8.887721,7.57,17.9
08/09/2021,RH5,Bottom,782.8842362,NA,15.40694106,NA,0.214823096,NA,17.48687,16.10288,8.887721,7.57,17.9
21/10/2021,RH4,Surface,1227.844375,250.0079012,7.001930026,1.742536069,0.212790991,-0.029797133,10.18407,8.765787,8.541504,0,8.5
21/10/2021,RH4,Bottom,3947.856805,NA,170.3037623,NA,0.135952536,NA,10.18407,8.765787,8.541504,0,8.5
11/08/2021,RH4,Bottom,8297.888057,NA,1788.987192,NA,0.136568005,NA,17.06754,15.63852,3.087095,0.08,15.4
11/08/2021,RH4,Surface,3002.105702,880.3642043,83.46133115,26.80185069,0.172930543,-0.070294831,17.06754,15.63852,3.087095,0.08,15.4
24/08/2021,RH3,Bottom,3488.138059,NA,374.3162917,NA,0.127707094,NA,16.81862,15.36816,6.120831,1.94,14.5
24/08/2021,RH3,Surface,1574.799903,447.290261,6.187100636,1.959652982,0.124690011,-0.055711373,16.81862,15.36816,6.120831,1.94,14.5
11/08/2021,RH2,Bottom,11028.82943,NA,9.502904211,NA,7.427888851,NA,17.22457,15.75227,7.035086,0.7,15.4
11/08/2021,RH2,Surface,1573.416451,425.9677655,20.03066885,6.457728822,0.284166108,-0.036911358,17.22457,15.75227,7.035086,0.7,15.4
21/10/2021,RH1,Bottom,1895.967864,NA,41.02835914,NA,0.191651741,NA,11.52299,10.03176,8.800803,5.02,8.5
21/10/2021,RH1,Surface,739.343496,130.1297038,3.530917473,0.918293227,0.212789457,-0.031650895,11.52299,10.03176,8.800803,5.02,8.5
17/05/2021,RH2,Bottom,12512.66159,NA,17.93452179,NA,7.311701362,NA,13.05231,11.54258,10.3559,6.77,10.4
17/05/2021,RH2,Surface,607.8470413,104.64383,37.25573385,10.37995794,0.330264165,0.002756946,13.05231,11.54258,10.3559,6.77,10.4
24/08/2021,RH4,Bottom,3118.066669,NA,21.53312281,NA,0.14827183,NA,16.33478,14.75009,3.649962,0.56,14.5
24/08/2021,RH4,Surface,2186.224795,626.6497098,15.8090573,4.942362549,0.092066359,-0.056048401,16.33478,14.75009,3.649962,0.56,14.5
08/09/2021,RH2,Surface,556.1890821,100.3760092,6.10202488,1.847199358,0.348763845,0.015089832,15.55841,13.84996,10.87066,4.26,17.9
08/09/2021,RH2,Bottom,5162.993931,NA,5.002821533,NA,4.382370506,NA,15.55841,13.84996,10.87066,4.26,17.9
08/09/2021,RH4,Surface,1082.128862,244.1408978,2.452081928,0.723321728,0.287014561,-0.006034466,15.10227,13.38542,6.69985,1.65,17.9
08/09/2021,RH4,Bottom,3520.845812,NA,19.78250676,NA,0.110516444,NA,15.10227,13.38542,6.69985,1.65,17.9
03/05/2021,RH5,Bottom,517.0830049,NA,5.471957777,NA,0.185249715,NA,12.45724,10.73594,11.29656,10.31,6.8
03/05/2021,RH5,Surface,224.4991591,4.868557062,2.9376198,0.791420113,0.20187141,-0.010944975,12.45724,10.73594,11.29656,10.31,6.8
28/06/2021,RH3,Bottom,5044.645575,NA,729.2537156,NA,0.118095398,NA,20.16528,18.4239,7.621975,2.96,16.4
28/06/2021,RH3,Surface,1430.714205,465.1111645,20.43014087,7.256744056,0.153785527,-0.035335603,20.16528,18.4239,7.621975,2.96,16.4
11/08/2021,RH3,Bottom,6061.407043,NA,897.1745404,NA,0.131313655,NA,17.7371,15.94049,5.432051,0,15.4
11/08/2021,RH3,Surface,2402.013535,702.8087107,15.79978952,5.179447653,0.240084871,-0.052226512,17.7371,15.94049,5.432051,0,15.4
08/09/2021,RH3,Bottom,2805.18873,NA,31.47730122,NA,0.170828012,NA,15.53918,13.56951,7.478586,3.78,17.9
08/09/2021,RH3,Surface,1353.353153,349.5462857,0.890805592,0.258905081,0.179425589,-0.039749315,15.53918,13.56951,7.478586,3.78,17.9
21/10/2021,RH3,Surface,1144.976285,229.2622861,3.774433632,0.94517585,0.228604496,-0.029960286,10.4864,8.506319,7.780931,2.34,8.5
21/10/2021,RH3,Bottom,2571.142648,NA,14.22602218,NA,0.272359053,NA,10.4864,8.506319,7.780931,2.34,8.5
27/04/2021,RH5,Surface,292.8539779,15.37847712,2.551367261,0.654862298,0.469653419,-0.005647976,11.27932,9.280867,11.0652,5.34,4
27/04/2021,RH5,Bottom,454.3878702,NA,3.089145984,NA,0.416704392,NA,11.27932,9.280867,11.0652,5.34,4
17/05/2021,RH3,Surface,1025.020969,238.1673324,42.14327675,12.16442185,0.263725907,-0.015271301,14.02346,12.01792,9.601188,6.19,10.4
17/05/2021,RH3,Bottom,3545.425963,NA,262.4394853,NA,0.159640144,NA,14.02346,12.01792,9.601188,6.19,10.4
11/08/2021,RH5,Bottom,854.5316655,NA,19.55007303,NA,0.285321523,NA,19.83478,17.76347,9.011907,8,15.4
11/08/2021,RH5,Surface,465.9032708,66.2718587,14.2987299,5.018006525,0.223039273,-0.049734219,19.83478,17.76347,9.011907,8,15.4
28/06/2021,RH2,Bottom,2957.187759,NA,74.10832227,NA,1.619776188,NA,18.40081,16.28246,6.605037,0.62,16.4
28/06/2021,RH2,Surface,1852.883704,577.5985208,35.61226643,11.95243149,0.571023828,0.10177515,18.40081,16.28246,6.605037,0.62,16.4
26/07/2021,RH3,Surface,1670.38697,539.030331,6.227791075,2.262049687,0.215511244,-0.04564961,21.34818,19.06298,6.136892,0.28,20
26/07/2021,RH3,Bottom,4248.123117,NA,185.2880415,NA,0.190209695,NA,21.34818,19.06298,6.136892,0.28,20
26/07/2021,RH5,Bottom,3098.080293,NA,200.5920639,NA,0.17826271,NA,21.63807,19.29148,5.549719,0.58,20
26/07/2021,RH5,Surface,1236.949153,382.0377884,27.51543115,10.23168704,0.252718088,-0.030592889,21.63807,19.29148,5.549719,0.58,20
17/05/2021,RH5,Bottom,2034.220934,NA,125.8622327,NA,0.15339864,NA,14.63864,12.25778,11.32613,10.9,10.4
17/05/2021,RH5,Surface,146.7748518,-23.23081736,5.109689904,1.49744551,0.242283681,-0.024447445,14.63864,12.25778,11.32613,10.9,10.4
03/05/2021,RH3,Surface,459.4531426,70.8591033,17.10725714,4.521624616,0.203569762,-0.019170137,11.66394,9.241028,11.89993,5.91,6.8
03/05/2021,RH3,Bottom,1345.967006,NA,18.46859578,NA,0.153919012,NA,11.66394,9.241028,11.89993,5.91,6.8
24/08/2021,RH6,Bottom,15057.91174,NA,5431.915836,NA,0.077928753,NA,16.59294,14.06917,6.504838,0.05,14.5
24/08/2021,RH2,Surface,1156.693676,307.1260421,8.130973118,2.576124635,0.249699146,-0.004384245,16.79176,14.22093,8.733084,2.69,14.5
24/08/2021,RH2,Bottom,3943.2037,NA,11.37927727,NA,1.073615302,NA,16.79176,14.22093,8.733084,2.69,14.5
14/06/2021,RH3,Bottom,3134.21596,NA,117.6913561,NA,0.113645168,NA,21.71913,19.06677,7.966405,5.5,15.7
14/06/2021,RH3,Surface,950.2973665,307.9126415,8.397967444,3.126861045,0.138324547,-0.0352273,21.71913,19.06677,7.966405,5.5,15.7
24/08/2021,RH5,Surface,92.36284458,-33.34339186,5.159618166,1.797301827,0.177303155,-0.032038126,19.71934,16.9771,10.11717,7.8,14.5
24/08/2021,RH5,Bottom,860.8316182,NA,19.11003492,NA,0.279124911,NA,19.71934,16.9771,10.11717,7.8,14.5
14/06/2021,RH5,Bottom,171.7184799,NA,11.37357201,NA,0.21024221,NA,20.06162,17.03391,10.47681,3.99,15.7
03/05/2021,RH2,Bottom,2815.865926,NA,6.160757086,NA,2.436221357,NA,12.71238,9.594141,12.68123,5.34,6.8
03/05/2021,RH2,Surface,261.486398,13.59884663,6.821840811,1.869614276,0.290795087,0.015047746,12.71238,9.594141,12.68123,5.34,6.8
27/04/2021,RH6,Surface,952.1446725,172.3135268,22.89382172,6.019677749,0.342106668,-0.034443684,11.5163,8.377432,10.2216,9.24,4
27/04/2021,RH6,Bottom,1199.798416,NA,20.98510391,NA,0.315998907,NA,11.5163,8.377432,10.2216,9.24,4
11/08/2021,RH6,Bottom,15567.42482,NA,6298.708082,NA,0.141638817,NA,17.13097,13.96167,5.700807,0,15.4
11/08/2021,RH6,Surface,1273.308965,311.3717732,65.88918753,21.20260558,0.230215682,-0.046378017,17.13097,13.96167,5.700807,0,15.4
28/06/2021,RH4,Surface,2589.235828,832.4989874,42.26761795,14.21847043,0.096987611,-0.059796399,18.46505,15.19987,3.876472,0.08,16.4
28/06/2021,RH4,Bottom,13850.44074,NA,5405.399479,NA,0.001108439,NA,18.46505,15.19987,3.876472,0.08,16.4
12/07/2021,RH3,Bottom,6915.412038,NA,568.3686767,NA,0.11943613,NA,22.4,18.9,5.98,0.38,19.5
12/07/2021,RH3,Surface,1673.096796,577.711211,27.40358553,10.4429391,0.224942882,-0.050945839,22.4,18.9,5.98,0.38,19.5
17/05/2021,RH6,Surface,1087.045725,252.6530404,10.05099649,2.902851244,0.224525965,-0.024516021,14.12006,10.4566,7.954318,0.5,10.4
17/05/2021,RH6,Bottom,4444.445802,NA,1092.671935,NA,0.110001914,NA,14.12006,10.4566,7.954318,0.5,10.4
28/06/2021,RH1,Bottom,19787.31808,NA,3992.029182,NA,0.032700075,NA,19.3532,15.68429,9.017833,0.39,16.4
28/06/2021,RH1,Surface,56.76780756,-50.39984414,7.257364534,2.50600198,0.118994113,-0.047727771,19.3532,15.68429,9.017833,0.39,16.4
26/07/2021,RH4,Surface,1144.710517,312.4636573,12.20136206,4.350204633,0.209068256,-0.045877788,20.40832,16.58145,7.033933,0,20
26/07/2021,RH4,Bottom,22134.84347,NA,7400.450239,NA,0.083628607,NA,20.40832,16.58145,7.033933,0,20
14/06/2021,RH4,Surface,2262.334453,757.3600947,12.43831766,4.396899598,0.070618372,-0.068618207,20.04882,15.82537,6.220148,0.84,15.7
14/06/2021,RH4,Bottom,9610.576445,NA,1037.562082,NA,-0.00832911,NA,20.04882,15.82537,6.220148,0.84,15.7
03/05/2021,RH1,Bottom,4036.767706,NA,68.58267129,NA,0.000982527,NA,12.47493,8.248056,12.21279,0.02,6.8
03/05/2021,RH1,Surface,24.47238953,-48.55172824,4.558298129,1.233266,0.189982544,-0.023089845,12.47493,8.248056,12.21279,0.02,6.8
17/05/2021,RH4,Bottom,7323.880775,NA,1507.241525,NA,0.065376859,NA,13.93169,9.573616,7.044438,0.06,10.4
17/05/2021,RH4,Surface,2136.841188,558.0703943,17.78788968,5.110768225,0.166929784,-0.044716799,13.93169,9.573616,7.044438,0.06,10.4
28/06/2021,RH6,Bottom,15031.84191,NA,6880.843452,NA,0.105645952,NA,19.56332,15.17737,8.49963,0.39,16.4
28/06/2021,RH6,Surface,1422.220187,443.0015838,107.1731843,37.38252818,0.106977703,-0.050183777,19.56332,15.17737,8.49963,0.39,16.4
17/05/2021,RH1,Bottom,3767.076058,NA,283.7205517,NA,0.071307767,NA,13.60515,9.216447,11.27237,0.1,10.4
17/05/2021,RH1,Surface,163.6043021,-28.02438356,8.731331615,2.47314804,0.216027783,-0.033950692,13.60515,9.216447,11.27237,0.1,10.4
03/05/2021,RH4,Surface,1412.458307,334.6940843,12.04066327,3.240271597,0.136954684,-0.044725164,12.17959,7.758097,8.84416,1.05,6.8
03/05/2021,RH4,Bottom,5076.880307,NA,50.5979179,NA,-0.001729413,NA,12.17959,7.758097,8.84416,1.05,6.8
26/07/2021,RH2,Bottom,15316.18829,NA,5.266690591,NA,6.203251557,NA,20.69548,16.16924,7.498326,1.79,20
26/07/2021,RH2,Surface,809.988052,206.3270725,10.8784455,3.869042937,0.262943473,-0.031354821,20.69548,16.16924,7.498326,1.79,20
12/07/2021,RH4,Bottom,21275.38833,NA,8630.860304,NA,0.130081586,NA,19.3,14.6,5.3,0.05,19.5
12/07/2021,RH4,Surface,1960.763907,602.0366986,30.46752606,10.5273499,0.207463378,-0.053415479,19.3,14.6,5.3,0.05,19.5
26/07/2021,RH1,Bottom,37587.01214,NA,6847.535006,NA,0.09748272,NA,21.61149,16.55284,8.996148,0,20
26/07/2021,RH1,Surface,158.3833043,-27.02769198,2.78558968,1.017845513,0.231574517,-0.043170094,21.61149,16.55284,8.996148,0,20
26/07/2021,RH6,Bottom,18418.09375,NA,6148.308793,NA,0.156287033,NA,19.71898,14.52181,5.493533,0,20
26/07/2021,RH6,Surface,1195.385716,337.4836506,14.92621771,5.214950334,0.288590077,-0.017829229,19.71898,14.52181,5.493533,0,20
12/07/2021,RH5,Bottom,7195.255769,NA,2721.27711,NA,0.114328866,NA,23.4,18,10.39,0.39,19.5
14/06/2021,RH6,Surface,1139.586836,327.2525924,12.96203009,4.323256362,0.117669115,-0.048170438,18.25811,12.76247,6.882605,0,15.7
14/06/2021,RH6,Bottom,9792.586983,NA,5867.64551,NA,0.014367852,NA,18.25811,12.76247,6.882605,0,15.7
12/07/2021,RH2,Bottom,12801.89346,NA,31.19385639,NA,11.00207285,NA,20.1,14.4,6.61,2.71,19.5
12/07/2021,RH2,Surface,1607.180581,499.1430188,23.59487553,8.362392137,0.263412583,-0.030141494,20.1,14.4,6.61,2.71,19.5
14/06/2021,RH1,Bottom,8660.457437,NA,944.396314,NA,-0.008916037,NA,20.5834,14.3489,9.423921,2.67,15.7
14/06/2021,RH1,Surface,143.575775,-0.741043441,3.775552918,1.350200906,0.135945346,-0.048381285,20.5834,14.3489,9.423921,2.67,15.7
12/07/2021,RH1,Bottom,35016.4219,NA,7225.611324,NA,0.052773037,NA,20.7,14.4,8.37,0.08,19.5
12/07/2021,RH1,Surface,111.6211251,-24.07518572,6.246222551,2.245295451,0.17080782,-0.086388363,20.7,14.4,8.37,0.08,19.5
31/05/2021,RH2,Surface,1441.233461,422.3533496,29.57140572,9.762560968,0.385169681,0.036071373,17.91003,11.5072,8.784323,8.37,14.4
31/05/2021,RH2,Bottom,13146.254,NA,7.967632796,NA,50.28801952,NA,17.91003,11.5072,8.784323,8.37,14.4
12/07/2021,RH6,Bottom,15829.65717,NA,6595.001023,NA,0.20418935,NA,21.4,14.6,5.36,0.07,19.5
12/07/2021,RH6,Surface,1686.171856,563.4671344,40.85196267,15.09593618,0.20821914,-0.052530818,21.4,14.6,5.36,0.07,19.5
28/06/2021,RH5,Bottom,6174.371619,NA,2221.314777,NA,0.016149028,NA,23.25791,16.45343,10.86423,0.05,16.4
31/05/2021,RH6,Bottom,12873.49636,NA,4339.481641,NA,0.310416224,NA,19.5928,12.07304,10.30828,0.61,14.4
31/05/2021,RH6,Surface,623.9205505,168.0043542,18.22151832,6.351097952,0.218468359,-0.019477715,19.5928,12.07304,10.30828,0.61,14.4
14/06/2021,RH2,Surface,767.8794022,228.0509252,29.59134241,11.3073958,0.345632144,0.042837126,22.47392,14.49424,8.904759,0.34,15.7
14/06/2021,RH2,Bottom,7587.177357,NA,176.2951633,NA,8.980296264,NA,22.47392,14.49424,8.904759,0.34,15.7
31/05/2021,RH3,Bottom,2852.905109,NA,140.7009388,NA,0.194611788,NA,23.46053,15.44527,8.331488,6.19,14.4
31/05/2021,RH3,Surface,1562.314221,560.7092072,25.83237064,10.17302107,0.203454355,-0.020637555,23.46053,15.44527,8.331488,6.19,14.4
31/05/2021,RH1,Surface,52.91178955,-49.7818222,9.203937425,3.12172725,0.258841467,-0.013066966,18.82228,10.78232,10.55004,0.23,14.4
31/05/2021,RH1,Bottom,5472.682179,NA,683.9047831,NA,0.116552488,NA,18.82228,10.78232,10.55004,0.23,14.4
31/05/2021,RH4,Surface,2002.394046,642.4939144,34.23248796,12.31835867,0.200023945,-0.019358714,20.56135,11.74151,5.855454,0.15,14.4
31/05/2021,RH4,Bottom,8657.95735,NA,1828.699147,NA,0.12912101,NA,20.56135,11.74151,5.855454,0.15,14.4
31/05/2021,RH5,Bottom,125.4680805,NA,24.55406694,NA,0.248879889,NA,23.73227,13.03924,10.63725,10.76,14.4
31/05/2021,RH5,Surface,42.34834026,-52.03118762,4.66492988,1.842598091,0.259398836,0.008954228,23.73227,13.03924,10.63725,10.76,14.4
