,PondID,Date,Sample_type,Period_1,LandUse,CO2_tot,fCO2,CH4_tot,fCH4,N2O_tot,fN2O,Water.Temperature_Surface,Water.Temperature_Bottom,RDO.Concentration_Surface,RDO.Concentration_Bottom
61,RH3,17/05/2021,Surface,Spring,L,1025.020969,605.5642723,42.14327675,30.92925965,0.263725907,-0.03882881,14.02346,12.01792,9.601188,6.19
62,RH3,17/05/2021,Bottom,Spring,L,3545.425963,NA,262.4394853,NA,0.159640144,NA,14.02346,12.01792,9.601188,6.19
63,RH3,31/05/2021,Bottom,Spring,L,2852.905109,NA,140.7009388,NA,0.194611788,NA,23.46053,15.44527,8.331488,6.19
64,RH3,31/05/2021,Surface,Spring,L,1562.314221,1498.770139,25.83237064,27.19238422,0.203454355,-0.055163981,23.46053,15.44527,8.331488,6.19
65,RH3,14/06/2021,Bottom,Summer,L,3134.21596,NA,117.6913561,NA,0.113645168,NA,21.71913,19.06677,7.966405,5.5
66,RH3,14/06/2021,Surface,Summer,L,950.2973665,1050.556911,8.397967444,10.66843331,0.138324547,-0.120190856,21.71913,19.06677,7.966405,5.5
67,RH3,28/06/2021,Bottom,Summer,L,5044.645575,NA,729.2537156,NA,0.118095398,NA,20.16528,18.4239,7.621975,2.96
68,RH3,28/06/2021,Surface,Summer,L,1430.714205,1162.376389,20.43014087,18.13559552,0.153785527,-0.088308502,20.16528,18.4239,7.621975,2.96
69,RH3,12/07/2021,Bottom,Summer,L,6915.412038,NA,568.3686767,NA,0.11943613,NA,22.4,18.9,5.98,0.38
70,RH3,12/07/2021,Surface,Summer,L,1673.096796,1745.090378,27.40358553,31.5449522,0.224942882,-0.153891932,22.4,18.9,5.98,0.38
71,RH3,26/07/2021,Surface,Summer,L,1670.38697,1511.106887,6.227791075,6.341385012,0.215511244,-0.127973206,21.34818,19.06298,6.136892,0.28
72,RH3,26/07/2021,Bottom,Summer,L,4248.123117,NA,185.2880415,NA,0.190209695,NA,21.34818,19.06298,6.136892,0.28
73,RH3,11/08/2021,Bottom,Summer,L,6061.407043,NA,897.1745404,NA,0.131313655,NA,17.7371,15.94049,5.432051,0
74,RH3,11/08/2021,Surface,Summer,L,2402.013535,1786.961466,15.79978952,13.16926388,0.240084871,-0.132791131,17.7371,15.94049,5.432051,0
75,RH3,24/08/2021,Bottom,Summer,L,3488.138059,NA,374.3162917,NA,0.127707094,NA,16.81862,15.36816,6.120831,1.94
76,RH3,24/08/2021,Surface,Summer,L,1574.799903,1040.076607,6.187100636,4.556748499,0.124690011,-0.12954473,16.81862,15.36816,6.120831,1.94
77,RH3,08/09/2021,Surface,Autumn,L,1353.353153,843.179062,0.890805592,0.624533438,0.179425589,-0.095883696,15.53918,13.56951,7.478586,3.78
78,RH3,08/09/2021,Bottom,Autumn,L,2805.18873,NA,31.47730122,NA,0.170828012,NA,15.53918,13.56951,7.478586,3.78
79,RH3,20/09/2021,Bottom,Autumn,L,3998.445961,NA,573.3192659,NA,0.187908781,NA,13.45411,13.3703,4.282473,3.22
80,RH3,20/09/2021,Surface,Autumn,L,2419.249286,1360.990853,56.00494016,34.76140295,0.115474744,-0.143109218,13.45411,13.3703,4.282473,3.22
81,RH3,07/10/2021,Bottom,Autumn,L,2418.353628,NA,27.12279618,NA,0.232241706,NA,11.09097,11.06561,5.593974,5.48
82,RH3,07/10/2021,Surface,Autumn,L,2518.633738,1393.216372,17.8091042,10.90886343,0.185377408,-0.09645469,11.09097,11.06561,5.593974,5.48
83,RH3,21/10/2021,Surface,Autumn,L,1144.976285,802.1413842,3.774433632,3.306975069,0.228604496,-0.104824852,10.4864,8.506319,7.780931,2.34
84,RH3,21/10/2021,Bottom,Autumn,L,2571.142648,NA,14.22602218,NA,0.272359053,NA,10.4864,8.506319,7.780931,2.34
85,RH3,04/11/2021,Bottom,Autumn,L,2115.665207,NA,18.42917308,NA,0.349121777,NA,6.698827,6.574561,7.239755,6.82
86,RH3,04/11/2021,Surface,Autumn,L,2197.830378,1055.073329,4.796962051,2.636802361,0.270759932,-0.07196917,6.698827,6.574561,7.239755,6.82
87,RH4,27/04/2021,Bottom,Spring,L,1972.372646,NA,23.6135695,NA,0.170649671,NA,7.512576,6.880989,6.712206,4.53
88,RH4,27/04/2021,Surface,Spring,L,2641.771201,1183.886908,10.72343672,5.640113353,0.34471701,-0.148793433,7.512576,6.880989,6.712206,4.53
89,RH4,03/05/2021,Surface,Spring,L,1412.458307,968.3075926,12.04066327,9.374469812,0.136954684,-0.129394925,12.17959,7.758097,8.84416,1.05
90,RH4,03/05/2021,Bottom,Spring,L,5076.880307,NA,50.5979179,NA,-0.001729413,NA,12.17959,7.758097,8.84416,1.05
91,RH4,17/05/2021,Bottom,Spring,L,7323.880775,NA,1507.241525,NA,0.065376859,NA,13.93169,9.573616,7.044438,0.06
92,RH4,17/05/2021,Surface,Spring,L,2136.841188,1373.01364,17.78788968,12.57395941,0.166929784,-0.110016183,13.93169,9.573616,7.044438,0.06
93,RH4,31/05/2021,Bottom,Spring,L,8657.95735,NA,1828.699147,NA,0.12912101,NA,20.56135,11.74151,5.855454,0.15
94,RH4,31/05/2021,Surface,Spring,L,2002.394046,1656.561769,34.23248796,31.76080205,0.200023945,-0.049913167,20.56135,11.74151,5.855454,0.15
95,RH4,14/06/2021,Surface,Summer,L,2262.334453,2459.331324,12.43831766,14.27779597,0.070618372,-0.222819908,20.04882,15.82537,6.220148,0.84
96,RH4,14/06/2021,Bottom,Summer,L,9610.576445,NA,1037.562082,NA,-0.00832911,NA,20.04882,15.82537,6.220148,0.84
97,RH4,28/06/2021,Bottom,Summer,L,13850.44074,NA,5405.399479,NA,0.001108439,NA,18.46505,15.19987,3.876472,0.08
98,RH4,28/06/2021,Surface,Summer,L,2589.235828,2015.42996,42.26761795,34.42206144,0.096987611,-0.144763483,18.46505,15.19987,3.876472,0.08
99,RH4,12/07/2021,Bottom,Summer,L,21275.38833,NA,8630.860304,NA,0.130081586,NA,19.3,14.6,5.3,0.05
100,RH4,12/07/2021,Surface,Summer,L,1960.763907,1741.759815,30.46752606,30.45680612,0.207463378,-0.154536983,19.3,14.6,5.3,0.05
101,RH4,26/07/2021,Surface,Summer,L,1144.710517,842.5188216,12.20136206,11.72977783,0.209068256,-0.123703665,20.40832,16.58145,7.033933,0
102,RH4,26/07/2021,Bottom,Summer,L,22134.84347,NA,7400.450239,NA,0.083628607,NA,20.40832,16.58145,7.033933,0
103,RH4,11/08/2021,Bottom,Summer,L,8297.888057,NA,1788.987192,NA,0.136568005,NA,17.06754,15.63852,3.087095,0.08
104,RH4,11/08/2021,Surface,Summer,L,3002.105702,2165.949087,83.46133115,65.94025944,0.172930543,-0.172945496,17.06754,15.63852,3.087095,0.08
105,RH4,24/08/2021,Bottom,Summer,L,3118.066669,NA,21.53312281,NA,0.14827183,NA,16.33478,14.75009,3.649962,0.56
106,RH4,24/08/2021,Surface,Summer,L,2186.224795,1418.452319,15.8090573,11.18727976,0.092066359,-0.126868302,16.33478,14.75009,3.649962,0.56
107,RH4,08/09/2021,Bottom,Autumn,L,3520.845812,NA,19.78250676,NA,0.110516444,NA,15.10227,13.38542,6.69985,1.65
108,RH4,08/09/2021,Surface,Autumn,L,1082.128862,571.837654,2.452081928,1.694196277,0.287014561,-0.014134195,15.10227,13.38542,6.69985,1.65
109,RH4,20/09/2021,Bottom,Autumn,L,3766.295004,NA,468.2603072,NA,0.083097951,NA,13.41527,13.15984,1.442211,0.9
110,RH4,20/09/2021,Surface,Autumn,L,3936.614162,2264.064623,107.5846207,65.20528091,0.111664101,-0.128866061,13.41527,13.15984,1.442211,0.9
111,RH4,07/10/2021,Surface,Autumn,L,3294.555859,1853.113289,56.648108,34.20400157,0.097372939,-0.153490777,11.40951,11.04486,2.629104,1.81
112,RH4,07/10/2021,Bottom,Autumn,L,3139.320571,NA,47.09777577,NA,0.184980188,NA,11.40951,11.04486,2.629104,1.81
113,RH4,21/10/2021,Surface,Autumn,L,1227.844375,831.5105733,7.001930026,5.795565497,0.212790991,-0.099103392,10.18407,8.765787,8.541504,0
114,RH4,21/10/2021,Bottom,Autumn,L,3947.856805,NA,170.3037623,NA,0.135952536,NA,10.18407,8.765787,8.541504,0
115,RH4,04/11/2021,Bottom,Autumn,L,3205.579177,NA,29.00500831,NA,0.163739193,NA,6.912383,6.830067,3.611952,0.76
116,RH4,04/11/2021,Surface,Autumn,L,3138.959091,1551.76331,14.3810963,7.772344744,0.170983861,-0.121598416,6.912383,6.830067,3.611952,0.76
117,RH5,27/04/2021,Surface,Spring,H,292.8539779,35.83376918,2.551367261,1.525910807,0.469653419,-0.013160488,11.27932,9.280867,11.0652,5.34
118,RH5,27/04/2021,Bottom,Spring,H,454.3878702,NA,3.089145984,NA,0.416704392,NA,11.27932,9.280867,11.0652,5.34
119,RH5,03/05/2021,Bottom,Spring,H,517.0830049,NA,5.471957777,NA,0.185249715,NA,12.45724,10.73594,11.29656,10.31
120,RH5,03/05/2021,Surface,Spring,H,224.4991591,13.9776842,2.9376198,2.272176391,0.20187141,-0.03142315,12.45724,10.73594,11.29656,10.31
121,RH5,17/05/2021,Bottom,Spring,H,2034.220934,NA,125.8622327,NA,0.15339864,NA,14.63864,12.25778,11.32613,10.9
122,RH5,17/05/2021,Surface,Spring,H,146.7748518,-56.82325395,5.109689904,3.662795206,0.242283681,-0.059799159,14.63864,12.25778,11.32613,10.9
123,RH5,31/05/2021,Surface,Spring,H,42.34834026,-133.3004374,4.66492988,4.72061359,0.259398836,0.022940136,23.73227,13.03924,10.63725,10.76
124,RH5,31/05/2021,Bottom,Spring,H,125.4680805,NA,24.55406694,NA,0.248879889,NA,23.73227,13.03924,10.63725,10.76
125,RH5,14/06/2021,Bottom,Summer,H,171.7184799,NA,11.37357201,NA,0.21024221,NA,20.06162,17.03391,10.47681,3.99
126,RH5,14/06/2021,Surface,Summer,H,16.84061705,-150.1298173,5.030011987,5.703428223,0.173118895,-0.098427447,20.06162,17.03391,10.47681,3.99
127,RH5,28/06/2021,Bottom,Summer,H,6174.371619,NA,2221.314777,NA,0.016149028,NA,23.25791,16.45343,10.86423,0.05
128,RH5,28/06/2021,Surface,Summer,H,10.761701,-129.9361427,14.72498089,13.86941302,0.147124008,-0.070699683,23.25791,16.45343,10.86423,0.05
129,RH5,12/07/2021,Surface,Summer,H,3.164024699,-208.0246404,24.02514525,28.41356697,0.200753585,-0.169266301,23.4,18,10.39,0.39
130,RH5,12/07/2021,Bottom,Summer,H,7195.255769,NA,2721.27711,NA,0.114328866,NA,23.4,18,10.39,0.39
131,RH5,26/07/2021,Bottom,Summer,H,3098.080293,NA,200.5920639,NA,0.17826271,NA,21.63807,19.29148,5.549719,0.58
132,RH5,26/07/2021,Surface,Summer,H,1236.949153,1023.035214,27.51543115,27.39879785,0.252718088,-0.081922793,21.63807,19.29148,5.549719,0.58
133,RH5,11/08/2021,Bottom,Summer,H,854.5316655,NA,19.55007303,NA,0.285321523,NA,19.83478,17.76347,9.011907,8
134,RH5,11/08/2021,Surface,Summer,H,465.9032708,162.1028911,14.2987299,12.2741897,0.223039273,-0.121651344,19.83478,17.76347,9.011907,8
135,RH5,24/08/2021,Surface,Summer,H,92.36284458,-75.11783091,5.159618166,4.049060614,0.177303155,-0.072177257,19.71934,16.9771,10.11717,7.8
136,RH5,24/08/2021,Bottom,Summer,H,860.8316182,NA,19.11003492,NA,0.279124911,NA,19.71934,16.9771,10.11717,7.8
137,RH5,08/09/2021,Bottom,Autumn,H,782.8842362,NA,15.40694106,NA,0.214823096,NA,17.48687,16.10288,8.887721,7.57
138,RH5,08/09/2021,Surface,Autumn,H,688.6064377,369.6468285,11.77458751,8.9104654,0.216782269,-0.047890803,17.48687,16.10288,8.887721,7.57
139,RH5,20/09/2021,Bottom,Autumn,H,718.1802831,NA,29.23813193,NA,0.164675753,NA,13.68106,13.68749,9.57456,8.69
140,RH5,20/09/2021,Surface,Autumn,H,682.8091907,296.8293524,14.99528921,9.120425301,0.161395436,-0.089752858,13.68106,13.68749,9.57456,8.69
141,RH5,07/10/2021,Bottom,Autumn,H,818.6709769,NA,4.846112549,NA,0.287579098,NA,12.34284,11.72581,9.973499,9.22
142,RH5,07/10/2021,Surface,Autumn,H,513.2672795,176.4919416,4.844410292,2.991347536,0.2135032,-0.087546432,12.34284,11.72581,9.973499,9.22
143,RH5,21/10/2021,Bottom,Autumn,H,1258.960099,NA,6.768163198,NA,0.284390663,NA,11.19436,10.01276,9.33683,7.84
144,RH5,21/10/2021,Surface,Autumn,H,547.309149,269.1761084,1.433649892,1.194338968,0.241858709,-0.073824498,11.19436,10.01276,9.33683,7.84
145,RH5,04/11/2021,Surface,Autumn,H,547.8224744,146.7440231,2.288524178,1.250097476,0.304287871,-0.046849197,7.769313,7.687496,9.735058,9.6
146,RH5,04/11/2021,Bottom,Autumn,H,616.4102096,NA,2.608353186,NA,0.30726491,NA,7.769313,7.687496,9.735058,9.6
147,RH6,27/04/2021,Surface,Spring,H,952.1446725,378.3820621,22.89382172,13.21856805,0.342106668,-0.075634643,11.5163,8.377432,10.2216,9.24
148,RH6,27/04/2021,Bottom,Spring,H,1199.798416,NA,20.98510391,NA,0.315998907,NA,11.5163,8.377432,10.2216,9.24
149,RH6,03/05/2021,Bottom,Spring,H,1700.310763,NA,77.10631139,NA,0.143421461,NA,11.45845,10.08841,10.01184,8.12
150,RH6,03/05/2021,Surface,Spring,H,876.2588039,466.1838168,17.57104491,12.10406818,0.173564508,-0.053810147,11.45845,10.08841,10.01184,8.12
151,RH6,17/05/2021,Bottom,Spring,H,4444.445802,NA,1092.671935,NA,0.110001914,NA,14.12006,10.4566,7.954318,0.5
152,RH6,17/05/2021,Surface,Spring,H,1087.045725,578.0977906,10.05099649,6.64204115,0.224525965,-0.056095338,14.12006,10.4566,7.954318,0.5
153,RH6,31/05/2021,Bottom,Spring,H,12873.49636,NA,4339.481641,NA,0.310416224,NA,19.5928,12.07304,10.30828,0.61
154,RH6,31/05/2021,Surface,Spring,H,623.9205505,399.9050958,18.22151832,15.1176822,0.218468359,-0.046363308,19.5928,12.07304,10.30828,0.61
155,RH6,14/06/2021,Bottom,Summer,H,9792.586983,NA,5867.64551,NA,0.014367852,NA,18.25811,12.76247,6.882605,0
156,RH6,14/06/2021,Surface,Summer,H,1139.586836,949.9767789,12.96203009,12.54991786,0.117669115,-0.139833262,18.25811,12.76247,6.882605,0
157,RH6,28/06/2021,Surface,Summer,H,1422.220187,1000.01874,107.1731843,84.38621911,0.106977703,-0.113283381,19.56332,15.17737,8.49963,0.39
158,RH6,28/06/2021,Bottom,Summer,H,15031.84191,NA,6880.843452,NA,0.105645952,NA,19.56332,15.17737,8.49963,0.39
159,RH6,12/07/2021,Surface,Summer,H,1686.171856,1479.797786,40.85196267,39.64549408,0.20821914,-0.137958336,21.4,14.6,5.36,0.07
160,RH6,12/07/2021,Bottom,Summer,H,15829.65717,NA,6595.001023,NA,0.20418935,NA,21.4,14.6,5.36,0.07
161,RH6,26/07/2021,Bottom,Summer,H,18418.09375,NA,6148.308793,NA,0.156287033,NA,19.71898,14.52181,5.493533,0
162,RH6,26/07/2021,Surface,Summer,H,1195.385716,834.4425643,14.92621771,12.89418472,0.288590077,-0.044083522,19.71898,14.52181,5.493533,0
163,RH6,11/08/2021,Bottom,Summer,H,15567.42482,NA,6298.708082,NA,0.141638817,NA,17.13097,13.96167,5.700807,0
164,RH6,11/08/2021,Surface,Summer,H,1273.308965,712.4526738,65.88918753,48.51388063,0.230215682,-0.106117975,17.13097,13.96167,5.700807,0
165,RH6,24/08/2021,Bottom,Summer,H,15057.91174,NA,5431.915836,NA,0.077928753,NA,16.59294,14.06917,6.504838,0.05
166,RH6,24/08/2021,Surface,Summer,H,9.215977524,-149.4633762,5.901760875,3.956607935,0.144377894,-0.096561361,16.59294,14.06917,6.504838,0.05
167,RH6,08/09/2021,Bottom,Autumn,H,5744.531105,NA,844.4763836,NA,0.06618867,NA,14.47413,13.22481,5.712776,0
168,RH6,08/09/2021,Surface,Autumn,H,1312.078419,713.7009871,6.410317227,4.105429993,0.173931436,-0.088306592,14.47413,13.22481,5.712776,0
169,RH6,20/09/2021,Surface,Autumn,H,3339.323269,1781.671209,159.8653136,90.73669072,0.106519405,-0.135118834,12.96276,12.91844,2.58816,0
170,RH6,20/09/2021,Bottom,Autumn,H,9424.301971,NA,3999.896578,NA,0.051797771,NA,12.96276,12.91844,2.58816,0
171,RH6,07/10/2021,Bottom,Autumn,H,7509.416414,NA,2721.656846,NA,0.092659363,NA,11.58697,11.31851,3.23884,0.44
172,RH6,07/10/2021,Surface,Autumn,H,3262.262391,1745.166769,230.7426166,131.946298,0.113060382,-0.144667389,11.58697,11.31851,3.23884,0.44
173,RH6,21/10/2021,Bottom,Autumn,H,4433.363687,NA,461.912542,NA,0.031686861,NA,9.86482,8.481903,5.871221,0
174,RH6,21/10/2021,Surface,Autumn,H,1266.095476,754.6606361,11.74013635,8.57860375,0.211685105,-0.096937196,9.86482,8.481903,5.871221,0
175,RH6,04/11/2021,Surface,Autumn,H,3765.254562,1748.692652,189.8495552,97.04733566,0.115015847,-0.152547144,7.257036,7.332432,1.081306,0
176,RH6,04/11/2021,Bottom,Autumn,H,4587.325632,NA,1194.875267,NA,0.102965246,NA,7.257036,7.332432,1.081306,0
