Date,PondID,CH4_bub_flux,Water.Temperature_Surface,Water.Temperature_Bottom,RDO.Concentration_Surface,RDO.Concentration_Bottom
03/05/2021,RH3,2.752016966,11.66394,9.241028,11.89993,5.91
17/05/2021,RH3,5.029069387,14.02346,12.01792,9.601188,6.19
31/05/2021,RH3,6.018334801,23.46053,15.44527,8.331488,6.19
14/06/2021,RH3,10.68143836,21.71913,19.06677,7.966405,5.5
28/06/2021,RH3,10.86967514,20.16528,18.4239,7.621975,2.96
12/07/2021,RH3,7.099266183,22.4,18.9,5.98,0.38
26/07/2021,RH3,3.271994167,21.34818,19.06298,6.136892,0.28
11/08/2021,RH3,2.230635755,17.7371,15.94049,5.432051,0
24/08/2021,RH3,4.717871624,16.81862,15.36816,6.120831,1.94
08/09/2021,RH3,1.961791147,15.53918,13.56951,7.478586,3.78
20/09/2021,RH3,3.880165641,13.45411,13.3703,4.282473,3.22
07/10/2021,RH3,0.778066347,11.09097,11.06561,5.593974,5.48
21/10/2021,RH3,0.439579202,10.4864,8.506319,7.780931,2.34
04/11/2021,RH3,0.534361525,6.698827,6.574561,7.239755,6.82
03/05/2021,RH4,1.495882376,12.17959,7.758097,8.84416,1.05
17/05/2021,RH4,2.968016791,13.93169,9.573616,7.044438,0.06
31/05/2021,RH4,3.055857132,20.56135,11.74151,5.855454,0.15
14/06/2021,RH4,6.16784902,20.04882,15.82537,6.220148,0.84
28/06/2021,RH4,10.12224013,18.46505,15.19987,3.876472,0.08
12/07/2021,RH4,15.36069415,19.3,14.6,5.3,0.05
26/07/2021,RH4,13.11389961,20.40832,16.58145,7.033933,0
11/08/2021,RH4,8.025082366,17.06754,15.63852,3.087095,0.08
24/08/2021,RH4,5.878768428,16.33478,14.75009,3.649962,0.56
08/09/2021,RH4,3.199145501,15.10227,13.38542,6.69985,1.65
20/09/2021,RH4,3.118523554,13.41527,13.15984,1.442211,0.9
07/10/2021,RH4,1.958403313,11.40951,11.04486,2.629104,1.81
21/10/2021,RH4,0.720194329,10.18407,8.765787,8.541504,0
04/11/2021,RH4,1.409922653,6.912383,6.830067,3.611952,0.76
03/05/2021,RH5,0.557343867,12.45724,10.73594,11.29656,10.31
17/05/2021,RH5,0.637777403,14.63864,12.25778,11.32613,10.9
31/05/2021,RH5,0.632857033,23.73227,13.03924,10.63725,10.76
14/06/2021,RH5,1.288668241,20.06162,17.03391,10.47681,3.99
28/06/2021,RH5,2.145919159,23.25791,16.45343,10.86423,0.05
12/07/2021,RH5,5.579576475,23.4,18,10.39,0.39
26/07/2021,RH5,6.805638915,21.63807,19.29148,5.549719,0.58
11/08/2021,RH5,2.548135781,19.83478,17.76347,9.011907,8
24/08/2021,RH5,1.588557888,19.71934,16.9771,10.11717,7.8
08/09/2021,RH5,1.990885275,17.48687,16.10288,8.887721,7.57
20/09/2021,RH5,2.881253112,13.68106,13.68749,9.57456,8.69
07/10/2021,RH5,0.561238652,12.34284,11.72581,9.973499,9.22
21/10/2021,RH5,0.32304513,11.19436,10.01276,9.33683,7.84
04/11/2021,RH5,0.220487482,7.769313,7.687496,9.735058,9.6
03/05/2021,RH6,4.202218467,11.45845,10.08841,10.01184,8.12
17/05/2021,RH6,12.72723033,14.12006,10.4566,7.954318,0.5
31/05/2021,RH6,7.73560198,19.5928,12.07304,10.30828,0.61
14/06/2021,RH6,30.76584296,18.25811,12.76247,6.882605,0
28/06/2021,RH6,16.4384347,19.56332,15.17737,8.49963,0.39
12/07/2021,RH6,6.692719996,21.4,14.6,5.36,0.07
26/07/2021,RH6,19.41052445,19.71898,14.52181,5.493533,0
11/08/2021,RH6,8.707781916,17.13097,13.96167,5.700807,0
24/08/2021,RH6,12.86081566,16.59294,14.06917,6.504838,0.05
08/09/2021,RH6,9.494484835,14.47413,13.22481,5.712776,0
20/09/2021,RH6,14.85345346,12.96276,12.91844,2.58816,0
07/10/2021,RH6,6.500150459,11.58697,11.31851,3.23884,0.44
21/10/2021,RH6,2.13666192,9.86482,8.481903,5.871221,0
04/11/2021,RH6,4.153409066,7.257036,7.332432,1.081306,0
